CustomerID,Age,Gender,Location,Income,PurchaseFrequency,Recency,TotalSpend,WebsiteVisits,CampaignResponse
C0295,19,Male,Suburban,49283,6,94,3423.84,18,1
C0296,18,Female,Suburban,25852,7,136,1020.48,14,1
C0297,65,Other,Suburban,37669,5,231,1254.37,5,0
C0298,29,Female,Suburban,84716,4,8,2714.14,19,0
C0299,22,Male,Suburban,56882,5,328,2956.1,20,1
C0300,54,Male,Rural,49034,4,290,2503.85,24,0
C0301,49,Male,Urban,63200,7,251,3633.17,29,0
C0302,26,Female,Rural,70035,5,361,2998.84,13,0
C0303,58,Male,Urban,82347,6,87,3736.01,26,0
C0304,52,Female,Urban,88969,5,204,3356.84,18,0
C0305,36,Male,Urban,52804,2,219,1530.12,8,1
C0306,65,Female,Urban,33479,4,241,1520.56,9,1
C0307,33,Female,Suburban,51730,4,320,1357.19,16,0
C0308,20,Female,Suburban,65205,6,258,4781.8,9,1
C0309,37,Male,Suburban,40724,11,109,5474.21,49,0
C0310,41,Male,Suburban,40856,6,256,2859.44,12,0
C0311,50,Male,Urban,66875,8,282,3395.75,17,0
C0312,41,Female,Urban,59026,5,220,2679.76,22,0
C0313,69,Female,Urban,60655,3,83,1104.08,15,0
C0314,28,Female,Urban,44830,5,107,2951.2,29,0
C0315,66,Female,Urban,55391,1,69,639.86,7,1
C0316,25,Female,Urban,41515,8,97,3345.13,27,1
C0317,53,Male,Suburban,77803,6,212,3935.35,26,1
C0318,55,Female,Suburban,80704,4,286,2208.87,12,0
C0319,57,Male,Rural,23076,7,237,979.61,17,0
C0320,37,Male,Rural,41409,1,8,608.4,8,0
C0321,52,Female,Suburban,30069,7,294,1472.64,12,1
C0322,65,Male,Urban,46999,3,189,789.41,3,0
C0323,42,Male,Suburban,58331,9,81,7673.44,33,0
C0324,52,Female,Suburban,31007,4,108,1300.99,4,0
C0325,42,Male,Urban,41562,2,321,1077.83,4,1
C0326,46,Female,Urban,39920,4,67,868.29,11,0
C0327,35,Male,Rural,64145,6,174,4106.35,32,0
C0328,63,Male,Urban,61386,2,346,1102.75,6,0
C0329,35,Male,Suburban,45565,1,351,579.57,2,1
C0330,19,Male,Suburban,63536,7,328,2394.66,14,0
C0331,52,Female,Urban,49066,7,43,3096.96,20,1
C0332,33,Male,Urban,54566,6,187,4253.11,22,1
C0333,58,Female,Urban,93469,8,302,7647.24,24,0
C0334,53,Male,Urban,86809,7,200,6380.7,12,0
C0335,50,Female,Urban,34008,5,39,1015.42,20,0
C0336,21,Female,Rural,76594,6,220,2905.96,15,0
C0337,50,Female,Urban,76227,6,307,5383.15,30,0
C0338,31,Male,Suburban,37034,7,4,3046.17,13,0
C0339,38,Male,Urban,76375,6,121,6777.99,14,0
C0340,65,Male,Rural,90758,3,336,3299.83,6,0
C0341,37,Female,Urban,37549,3,77,1118.86,10,0
C0342,25,Male,Urban,41649,1,179,565.31,11,0
C0343,24,Female,Rural,80353,5,133,2428.56,17,1
C0344,20,Female,Rural,65429,3,311,1863.34,9,0
C0345,34,Male,Urban,71029,9,229,5031.68,21,0
C0346,50,Female,Rural,66811,8,276,3231.72,35,1
C0347,65,Male,Urban,67813,4,152,3427.27,4,0
C0348,29,Male,Urban,33470,2,164,676.62,2,0
C0349,68,Female,Urban,80946,3,290,2566.24,18,0
C0350,39,Female,Urban,83391,2,109,1519.81,3,1
C0351,39,Female,Suburban,55412,4,126,2128.57,9,0
C0352,63,Male,Urban,59130,4,240,1457.0,8,1
C0353,47,Male,Urban,29377,5,310,1722.84,27,1
C0354,55,Female,Suburban,70285,8,345,5242.97,13,0
C0355,55,Female,Suburban,71441,6,146,5644.27,11,0
C0356,62,Female,Urban,58756,3,252,1227.33,18,0
C0357,68,Male,Suburban,82487,5,183,2907.89,19,0
C0358,25,Female,Urban,53318,6,309,3665.38,32,0
C0359,44,Male,Suburban,71292,3,306,2878.78,10,0
C0360,44,Male,Suburban,39606,8,72,3080.39,11,0
C0361,51,Female,Rural,59528,8,219,5843.05,13,1
C0362,38,Male,Urban,56512,5,207,4236.51,27,0
C0363,47,Female,Urban,64506,4,173,3845.24,4,0
C0364,50,Male,Urban,52609,2,141,1309.27,14,0
C0365,45,Male,Urban,57370,6,272,4266.9,31,0
C0366,64,Female,Urban,76520,5,214,2860.39,18,1
C0367,50,Female,Rural,51264,6,269,4101.75,31,0
C0368,22,Female,Urban,27868,7,20,1765.64,13,0
C0369,65,Female,Urban,94991,3,66,4166.29,11,0
C0370,36,Female,Suburban,87629,9,303,4585.49,28,0
C0371,21,Female,Urban,34154,2,147,639.25,4,0
C0372,52,Female,Suburban,73794,0,999,0.0,3,0
C0373,66,Male,Urban,49940,6,310,2712.21,21,1
C0374,34,Female,Urban,65269,4,6,1855.15,21,1
C0375,61,Male,Urban,65884,6,14,4320.63,24,0
C0376,45,Other,Urban,55311,4,132,2778.64,15,0
C0377,47,Female,Rural,44324,5,342,2537.19,24,0
C0378,46,Male,Urban,46189,2,243,678.47,9,0
C0379,63,Female,Suburban,41676,5,231,2566.42,13,0
C0380,23,Female,Urban,43363,4,228,1312.85,21,0
C0381,52,Male,Urban,58656,3,162,1188.14,11,0
C0382,58,Female,Rural,45684,5,283,2719.72,5,0
C0383,54,Female,Urban,73641,3,263,2966.53,18,0
C0384,41,Male,Suburban,89744,3,131,2642.62,15,0
C0385,46,Female,Rural,48398,4,225,1996.69,12,0
C0386,66,Male,Suburban,64788,8,258,4160.67,33,0
C0387,63,Female,Rural,69993,5,234,3480.81,24,0
C0388,48,Other,Urban,69440,4,336,1755.4,14,1
C0389,52,Female,Urban,61519,4,316,3582.45,15,0
C0390,50,Male,Urban,74853,4,24,3893.44,17,1
C0391,69,Female,Suburban,69644,4,271,3253.69,4,0
C0392,38,Female,Rural,35246,7,95,2561.45,29,0
C0393,49,Male,Urban,77383,8,142,7999.35,34,0
C0394,40,Female,Suburban,77745,7,182,5413.62,16,0
C0395,50,Male,Urban,44734,3,206,1073.58,19,1
C0396,20,Female,Suburban,60758,6,81,2407.38,22,0
C0397,35,Male,Urban,73666,6,274,5072.28,13,0
C0398,42,Male,Rural,55813,4,276,3191.22,13,0
C0399,59,Male,Suburban,81459,6,208,3194.59,13,0
C0400,48,Female,Urban,107277,9,296,6565.53,39,0
C0401,20,Male,Urban,44280,6,39,2480.4,26,0
C0402,57,Female,Urban,32379,4,288,1692.64,7,1
C0403,63,Male,Urban,66076,6,124,3147.55,28,0
C0404,41,Male,Urban,74431,7,364,3928.01,18,0
C0405,67,Female,Rural,55382,4,283,2481.04,17,0
C0406,49,Female,Suburban,89065,3,180,2767.11,19,1
C0407,64,Male,Suburban,33227,4,97,744.58,17,1
C0408,39,Female,Urban,73858,5,191,2147.38,14,0
C0409,40,Female,Rural,47882,3,74,1641.89,9,0
C0410,19,Female,Suburban,94387,5,273,4554.76,10,0
C0411,44,Male,Urban,99850,3,49,4406.31,7,0
C0412,59,Male,Suburban,44666,5,337,2632.01,19,1
C0413,19,Female,Suburban,49008,5,210,1249.88,12,0
C0414,43,Male,Urban,77191,5,116,3786.29,16,0
C0415,34,Female,Urban,52257,6,23,2867.18,15,0
C0416,57,Female,Urban,59091,6,98,2151.08,10,0
C0417,50,Female,Urban,60507,6,328,5166.85,12,1
C0418,26,Female,Rural,21606,5,313,1409.8,21,0
C0419,60,Other,Rural,59723,7,190,3052.2,36,0
C0420,65,Male,Suburban,46205,3,182,1047.9,13,1
C0421,56,Female,Urban,50137,5,148,1333.69,14,0
C0422,46,Male,Urban,88872,7,342,4956.41,8,0
C0423,59,Male,Suburban,34869,2,23,756.39,13,0
C0424,43,Female,Suburban,76264,8,105,5618.18,31,0
C0425,52,Female,Urban,54420,4,163,3198.28,22,0
C0426,67,Other,Suburban,54404,2,67,605.06,11,0
C0427,42,Female,Rural,75807,5,290,4136.9,23,0
C0428,41,Male,Urban,66801,5,289,4536.82,12,0
C0429,30,Male,Urban,71412,4,46,2801.47,10,0
C0430,24,Female,Suburban,79363,6,81,2395.0,19,0
C0431,53,Male,Urban,53373,8,147,3171.64,12,0
C0432,62,Male,Urban,47755,4,222,1573.56,10,1
C0433,37,Male,Urban,38296,3,343,1684.25,9,0
C0434,18,Male,Urban,43491,6,15,3683.97,21,0
C0435,25,Male,Suburban,118981,4,121,6896.95,13,1
C0436,63,Male,Suburban,84893,2,78,2250.95,9,0
C0437,33,Male,Urban,32978,3,322,842.57,3,0
C0438,31,Male,Rural,33550,1,295,471.67,8,0
C0439,29,Other,Rural,69637,9,241,9286.21,29,0
C0440,68,Male,Rural,70945,5,18,3015.42,10,0
C0441,40,Male,Urban,70977,3,256,1619.46,16,1
C0442,32,Female,Urban,54900,4,277,2299.03,22,0
C0443,45,Male,Rural,57490,3,27,1185.13,10,0
C0444,51,Female,Suburban,66557,4,2,1417.99,10,0
C0445,19,Female,Urban,61717,6,353,5353.94,8,0
C0446,49,Male,Urban,20000,4,295,1140.59,12,1
C0447,40,Male,Urban,55404,2,312,734.27,11,0
C0448,39,Female,Rural,42971,6,363,2340.39,10,0
C0449,68,Female,Suburban,63504,3,239,2535.78,15,0
C0450,42,Male,Urban,119705,6,13,8338.65,26,0
C0451,39,Female,Urban,67349,2,184,1205.26,2,0
C0452,39,Male,Suburban,53729,8,194,5347.85,16,0
C0453,66,Other,Rural,78436,3,56,3287.36,13,1
C0454,69,Male,Urban,69653,6,230,5960.17,13,0
C0455,59,Female,Suburban,68401,4,28,2404.57,4,0
C0456,23,Female,Rural,72137,5,320,2429.43,24,0
C0457,32,Female,Urban,101130,6,71,8572.82,14,0
C0458,60,Female,Suburban,37382,1,210,221.51,10,0
C0459,54,Male,Urban,69472,5,184,4243.66,16,0
C0460,50,Male,Suburban,41472,7,356,1859.39,27,0
C0461,25,Male,Suburban,71110,6,41,3794.66,24,0
C0462,61,Male,Suburban,41626,6,260,2276.67,20,0
C0463,61,Female,Suburban,51652,7,344,2381.83,12,1
C0464,22,Male,Urban,54098,4,84,3078.57,12,0
C0465,56,Male,Rural,79516,3,46,1199.1,15,0
C0466,21,Other,Suburban,78369,8,159,8738.51,25,0
C0467,23,Female,Urban,35085,4,344,1942.07,22,0
C0468,62,Female,Suburban,61098,5,7,2495.74,8,0
C0469,49,Other,Suburban,45808,5,333,2758.29,21,0
C0470,69,Male,Urban,34829,3,136,786.59,5,0
C0471,47,Male,Rural,55659,9,183,6305.59,14,0
C0472,64,Female,Rural,53830,8,197,4569.61,25,0
C0473,52,Female,Urban,108534,6,172,5211.1,26,0
C0474,57,Male,Rural,68659,3,349,1854.28,13,0
C0475,69,Female,Urban,32447,5,276,1930.42,24,1
